id,Age,Sex,Ethnicity,AMAS1,AMAS2,AMAS3,AMAS4,AMAS5,AMAS6,AMAS7,AMAS8,AMAS9,BIS_1,BIS_2,BIS_3,BIS_4,BIS_5,BIS_6,BIS_7,BIS_8,BIS_9,BIS_10,BIS_11,BIS_12,BIS_13,BIS_14,BIS_15,BIS_16,BIS_17,BIS_18,BIS_19,BIS_20,BIS_21,BIS_22,BIS_23,BIS_24,BIS_25,BIS_26,BIS_27,BIS_28,BIS_29,BIS_30,Tuckman1,Tuckman2,Tuckman3,Tuckman4,Tuckman5,Tuckman6,Tuckman7,Tuckman8,Tuckman9
601,21,2,2,1,3,1,3,3,1,5,5,1,3,2,2,1,1,3,2,2,3,3,1,3,3,1,3,1,1,1,2,2,3,1,1,1,1,3,1,1,3,4,,,,,,,,,
602,20,1,2,1,4,3,3,4,3,2,4,3,3,1,3,3,1,3,3,4,3,3,1,3,3,1,3,1,1,1,1,3,1,2,1,1,1,3,1,1,4,3,3,2,1,2,3,2,2,2,2
603,18,1,2,3,3,3,3,3,4,3,3,2,2,3,3,3,2,3,3,3,3,3,3,2,3,2,3,2,2,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3
604,21,2,2,3,4,1,3,4,2,2,3,2,2,2,2,2,3,4,2,4,3,2,2,3,2,1,2,2,1,2,1,3,2,2,3,2,1,4,2,2,4,4,3,2,2,2,3,2,2,2,2
605,21,1,2,1,2,1,2,3,1,1,3,1,3,2,2,2,1,2,2,3,3,2,2,3,2,1,2,1,1,1,1,2,1,2,1,1,2,2,2,2,2,3,3,3,1,2,7,2,2,1,3
606,21,1,2,2,3,1,2,3,1,2,1,2,3,2,1,4,2,1,2,4,2,3,2,2,1,2,1,1,1,2,2,2,1,2,3,2,1,2,2,2,3,2,1,2,2,2,2,3,2,1,2
607,19,2,2,3,4,1,3,4,2,2,4,3,3,1,2,2,1,3,4,2,2,2,1,3,3,2,3,1,1,2,1,3,1,2,4,2,1,2,2,2,1,2,3,3,2,1,3,3,2,2,3
608,19,1,2,3,4,3,4,4,3,2,3,3,3,2,2,2,1,2,2,3,2,2,1,2,2,1,2,2,1,1,1,2,1,1,1,2,2,1,3,1,2,1,2,2,1,1,2,2,2,2,2
609,20,1,2,3,4,3,4,4,4,4,3,3,3,1,2,2,2,2,4,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,4,3,3,2,2,2,2,3,3,2,1,2
610,17,1,2,1,2,1,2,3,1,1,3,1,3,1,1,2,1,2,3,2,2,4,1,3,3,2,3,1,1,1,1,1,1,2,1,2,1,3,2,1,1,3,2,2,2,2,7,7,2,2,2
611,22,1,2,1,2,1,1,2,1,2,4,2,4,3,1,4,2,1,3,2,3,2,1,3,3,2,3,1,1,2,1,2,1,2,1,2,1,1,1,1,3,4,2,2,2,2,3,7,3,1,3
612,20,1,2,1,1,1,1,1,1,1,2,1,4,2,3,3,1,2,3,4,3,3,2,3,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,1,4,3,3,3,2,7,3,3,1,7
613,19,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
614,18,2,2,1,2,1,2,2,1,1,1,1,3,2,2,3,2,2,3,4,3,3,1,3,4,1,3,2,1,1,2,3,1,2,2,2,1,3,2,1,3,3,3,3,2,2,3,3,3,2,3
615,19,1,10,1,1,1,3,5,1,1,3,3,4,3,1,4,2,4,4,3,2,4,4,3,4,2,4,1,1,1,2,2,4,4,1,2,2,3,3,3,4,4,3,7,3,3,2,7,3,1,7
616,18,2,2,1,1,1,1,2,1,1,2,1,2,3,3,2,2,2,1,4,3,3,4,4,4,3,4,1,2,2,3,3,1,2,1,1,1,2,3,3,3,2,3,3,2,7,7,2,3,2,2
617,20,1,2,5,5,3,5,5,3,2,5,2,4,1,2,2,3,2,3,4,2,2,2,3,4,1,3,2,2,2,2,3,1,2,1,1,2,2,3,2,2,3,3,3,3,3,3,3,2,2,3
618,36,2,2,1,2,1,1,3,1,1,2,1,3,2,3,3,1,1,2,3,2,3,1,3,3,1,1,2,1,1,1,3,1,1,1,1,1,1,2,1,3,3,3,2,2,1,7,3,3,1,3
619,18,1,2,1,1,1,1,1,1,2,1,1,2,3,1,2,3,3,3,3,1,2,3,2,2,4,3,2,3,1,2,2,1,4,1,1,1,2,2,4,3,4,3,3,1,3,3,3,2,7,2
620,18,1,2,4,4,5,5,5,5,5,5,5,3,2,1,1,2,2,2,4,2,3,1,2,2,1,2,1,1,1,1,1,1,1,1,1,4,1,3,4,3,3,1,2,3,3,2,2,1,3,2
621,19,1,2,1,3,1,4,2,1,1,3,1,2,2,3,2,2,1,2,3,2,1,1,3,1,1,1,2,2,3,3,2,2,3,3,1,3,1,1,1,2,4,2,1,3,3,2,2,3,2,2
622,18,1,2,5,5,2,5,5,3,1,2,1,2,2,3,3,3,3,3,3,3,3,4,2,2,2,2,2,2,2,2,2,1,3,3,2,2,2,2,2,2,2,1,3,2,2,3,2,1,3,2
625,20,1,9,1,3,1,3,4,1,1,3,1,2,2,2,3,2,1,4,4,2,3,2,3,4,2,1,1,1,4,2,2,1,1,2,2,1,1,2,1,1,4,2,2,1,1,7,3,2,1,3
626,18,1,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2
627,20,2,8,2,4,3,5,4,3,2,4,1,3,1,3,1,1,2,3,4,4,4,2,4,3,4,4,1,1,3,1,4,1,2,3,1,1,3,2,2,2,4,7,7,7,7,7,7,7,7,7
628,19,1,2,1,3,2,2,5,1,1,3,3,3,1,2,2,1,1,2,4,3,3,2,3,3,1,2,2,2,3,2,3,1,3,2,1,1,1,3,2,3,2,3,2,2,2,3,3,3,2,2
629,19,1,2,2,3,3,3,2,3,3,4,3,3,2,3,3,2,2,3,1,3,1,1,2,2,2,2,2,1,3,3,2,1,1,2,2,3,2,1,2,1,2,3,7,2,2,3,3,3,2,3
630,25,1,2,4,5,4,5,4,4,2,4,4,2,4,2,2,1,2,2,3,2,2,3,3,3,3,2,1,2,2,2,1,1,2,2,1,2,2,1,3,2,3,3,3,2,3,2,2,2,2,2
631,22,1,2,2,3,4,5,4,3,3,4,5,3,3,1,2,2,4,2,3,2,1,1,2,2,3,2,1,4,4,2,2,1,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2
632,21,1,2,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
633,19,1,2,1,2,1,1,1,1,1,1,1,2,2,2,3,2,1,1,2,1,1,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,3,2,2,1,2,2,2,2,1,2
634,19,1,2,3,2,3,4,4,3,2,3,3,2,3,2,2,4,2,2,2,1,2,2,2,2,2,2,2,3,3,2,2,3,3,2,2,2,2,2,3,3,4,2,2,3,3,2,2,2,3,2
635,18,1,2,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
636,36,1,3,4,4,3,4,4,3,2,4,4,4,2,2,4,2,3,3,3,2,2,3,2,3,1,3,2,2,2,2,2,2,1,2,2,2,1,1,3,2,3,2,2,2,3,3,7,2,2,3
637,18,2,2,3,5,1,3,4,3,2,5,3,3,2,2,1,1,4,2,4,1,2,1,4,4,1,3,1,1,4,1,1,1,3,2,1,1,2,1,2,3,3,2,3,2,3,3,2,2,2,2
638,21,1,2,1,2,2,1,3,1,1,3,1,3,2,2,3,2,3,3,3,2,1,3,3,3,2,2,2,2,2,2,3,1,3,2,1,3,2,1,3,3,3,2,2,2,3,3,3,2,3,2
640,20,1,2,1,3,1,4,3,1,1,4,1,3,2,1,3,2,2,2,2,2,2,1,3,3,2,2,1,1,1,1,2,1,1,3,2,2,1,3,3,3,3,7,7,2,3,3,7,3,2,3
641,19,2,2,2,2,1,2,2,2,1,3,2,3,2,3,2,2,2,3,3,3,3,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,3,3,3,2,3
642,19,1,2,1,3,1,3,4,2,1,5,4,3,2,1,3,2,4,2,3,2,2,1,3,2,2,2,1,3,3,2,2,1,2,2,1,3,2,3,1,3,3,2,2,7,2,3,2,1,2,2
643,21,1,2,1,2,1,3,2,1,1,3,1,3,3,2,1,1,2,4,3,3,2,1,3,4,2,3,2,2,2,2,3,2,2,1,1,1,2,1,1,3,4,3,3,2,2,3,7,7,2,3
644,19,1,2,4,5,4,5,3,3,1,5,1,3,3,2,2,1,2,4,4,4,4,1,3,3,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,3,4,7,3,2,1,3,7,3,1,3
645,19,2,2,1,2,1,2,2,1,1,2,1,2,3,3,3,1,3,3,4,3,3,1,2,3,1,1,2,3,3,1,3,1,1,1,1,1,1,3,3,1,3,2,2,2,1,7,3,3,1,7
646,19,2,2,1,1,1,2,3,2,1,4,2,3,1,2,1,1,1,2,3,2,4,1,3,3,2,1,1,2,1,1,3,1,1,2,2,2,2,2,2,2,2,2,3,1,1,3,2,2,3,2
647,20,1,2,3,5,2,5,5,1,2,5,1,4,1,1,2,2,4,2,3,3,4,2,4,4,2,3,4,4,1,4,4,2,3,1,2,1,3,1,2,4,4,2,7,7,7,7,2,1,2,3
648,23,2,2,3,3,2,4,4,3,3,2,3,2,1,2,1,1,2,1,2,3,2,1,2,2,1,3,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,2,3,3,2,2,2,1,1
649,20,1,2,1,5,1,5,3,1,1,5,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,1,7,7,7,1,7
650,19,1,2,1,2,1,3,3,1,1,2,1,3,1,2,1,1,1,2,4,3,3,1,4,1,1,3,1,1,1,2,3,1,1,2,2,1,2,2,1,2,3,3,3,2,1,2,3,3,1,3
651,30,1,1,1,2,1,2,1,1,1,1,1,4,1,2,4,1,2,4,4,4,4,1,4,4,1,4,2,2,1,2,4,3,1,1,2,1,3,2,1,3,4,7,7,1,2,7,7,3,1,7
652,20,1,2,3,5,1,2,4,1,1,3,2,2,2,2,3,1,3,3,3,2,2,2,3,3,3,2,1,2,2,2,2,1,2,1,2,2,2,2,2,4,4,3,3,2,2,7,3,2,1,7
653,21,2,2,1,2,1,1,1,1,1,1,1,2,3,2,2,3,4,2,4,3,1,4,3,1,4,4,1,3,1,2,4,1,2,1,1,4,4,4,4,4,1,7,7,2,7,2,2,1,7,1
654,19,2,2,1,2,1,3,3,1,1,3,1,2,2,3,3,2,2,2,2,2,3,3,3,2,2,3,2,2,2,2,3,1,2,2,2,2,3,1,2,2,3,2,2,2,3,7,2,2,2,2
655,19,1,2,1,2,1,2,3,1,1,3,1,4,1,3,3,1,2,3,4,3,3,2,4,3,1,1,2,1,1,1,2,1,1,1,1,1,1,1,4,4,3,3,3,3,1,3,3,3,2,3
656,19,1,3,2,1,1,1,3,1,1,2,1,2,3,2,2,3,4,2,2,1,2,3,2,1,3,2,2,3,2,2,2,3,3,3,3,2,3,2,2,2,2,1,1,2,3,1,1,1,7,2
657,20,1,2,1,3,1,2,2,1,2,3,2,3,2,2,2,1,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,4,2,1,2,2,7,1,7,2,2,2,1,1,7
