"id","amascat","difficulty","subject","time","correct"
602,"hi","easy","math",3498.1,8
603,"hi","easy","math",2817.9625,6
604,"hi","easy","math",3428.0875,6
605,"lo","easy","math",3666.1125,7
606,"lo","easy","math",2180.8375,8
607,"hi","easy","math",2565.7125,8
608,"hi","easy","math",4269.8125,6
609,"hi","easy","math",4126.3375,6
610,"lo","easy","math",2533.425,8
611,"lo","easy","math",3475.4375,6
612,"lo","easy","math",2580.85,8
613,"lo","easy","math",2652.425,8
614,"lo","easy","math",2425.7,8
615,"lo","easy","math",3005.225,5
616,"lo","easy","math",2030.4125,8
617,"hi","easy","math",4876.525,4
618,"lo","easy","math",2257.1125,7
619,"lo","easy","math",2230.8125,8
620,"hi","easy","math",3475.0375,6
621,"lo","easy","math",2494.5375,7
622,"hi","easy","math",3854.2,5
625,"lo","easy","math",3669.8625,5
626,"hi","easy","math",4207.3375,5
627,"hi","easy","math",3274.7625,7
628,"hi","easy","math",2242.175,7
629,"hi","easy","math",3629.9,7
630,"hi","easy","math",3837.825,7
631,"hi","easy","math",3683.55,1
632,"hi","easy","math",2478.4625,6
633,"lo","easy","math",3790.0875,4
634,"hi","easy","math",3888.6375,7
635,"lo","easy","math",4047.5,7
636,"hi","easy","math",3804.725,6
637,"hi","easy","math",2841.5125,7
638,"lo","easy","math",2671.05,8
640,"lo","easy","math",3725.575,6
641,"lo","easy","math",2363.5625,8
642,"hi","easy","math",3650.55,8
643,"lo","easy","math",3002.8125,8
644,"hi","easy","math",3781.55,7
645,"lo","easy","math",3042.225,6
646,"lo","easy","math",2382.7875,8
647,"hi","easy","math",2869.0125,8
648,"hi","easy","math",2314.9375,7
649,"hi","easy","math",4271.9375,4
650,"lo","easy","math",2634.5125,6
651,"lo","easy","math",2226.8625,8
652,"hi","easy","math",2815.15,7
653,"lo","easy","math",2098.6125,7
654,"lo","easy","math",3475.85,6
655,"lo","easy","math",3472.9125,8
602,"hi","hard","math",4786.9,2
603,"hi","hard","math",3595.125,4
604,"hi","hard","math",5090.1,0
605,"lo","hard","math",4436.7625,4
606,"lo","hard","math",4623.45,6
607,"hi","hard","math",4251.2625,4
608,"hi","hard","math",3632.1,2
609,"hi","hard","math",3087.225,4
610,"lo","hard","math",4369.35,6
611,"lo","hard","math",4041.575,4
612,"lo","hard","math",4568.375,5
613,"lo","hard","math",3955.35,4
614,"lo","hard","math",4622.9,3
615,"lo","hard","math",4232.8875,1
616,"lo","hard","math",3856.325,5
617,"hi","hard","math",3956.5,2
618,"lo","hard","math",4017.05,6
619,"lo","hard","math",4080.0125,5
620,"hi","hard","math",3368.9125,4
621,"lo","hard","math",4802.5625,4
622,"hi","hard","math",2984.0125,4
625,"lo","hard","math",4608.8375,2
626,"hi","hard","math",2747.3125,4
627,"hi","hard","math",4507.7375,5
628,"hi","hard","math",3820.725,3
629,"hi","hard","math",4447.5,4
630,"hi","hard","math",4302.45,2
631,"hi","hard","math",2401.125,5
632,"hi","hard","math",3371.8125,4
633,"lo","hard","math",4371.8125,5
634,"hi","hard","math",4764.7125,1
635,"lo","hard","math",4072.1625,4
636,"hi","hard","math",3735.975,3
637,"hi","hard","math",4412.0375,5
638,"lo","hard","math",4099.0625,4
640,"lo","hard","math",4205.1875,4
641,"lo","hard","math",3135.5875,4
642,"hi","hard","math",3853.25,5
643,"lo","hard","math",4973.125,4
644,"hi","hard","math",4075.6875,5
645,"lo","hard","math",4178.7875,3
646,"lo","hard","math",4237.775,0
647,"hi","hard","math",4206.2875,3
648,"hi","hard","math",4795.4625,5
649,"hi","hard","math",4021.4625,4
650,"lo","hard","math",4289.825,4
651,"lo","hard","math",3393.05,3
652,"hi","hard","math",3828.65,5
653,"lo","hard","math",3968.6125,6
654,"lo","hard","math",4975.0125,1
655,"lo","hard","math",4033.8125,5
602,"hi","easy","verbal",2350.8,8
603,"hi","easy","verbal",1771.3875,7
604,"hi","easy","verbal",2820.7625,4
605,"lo","easy","verbal",2400.8,8
606,"lo","easy","verbal",1793.3875,8
607,"hi","easy","verbal",2110.7,7
608,"hi","easy","verbal",2115.15,5
609,"hi","easy","verbal",2375.3875,5
610,"lo","easy","verbal",2296.6625,5
611,"lo","easy","verbal",2867.5,5
612,"lo","easy","verbal",1898.6625,7
613,"lo","easy","verbal",2228.1875,7
614,"lo","easy","verbal",1578.45,7
615,"lo","easy","verbal",2100.425,8
616,"lo","easy","verbal",1825.2125,8
617,"hi","easy","verbal",3673.375,5
618,"lo","easy","verbal",1568.2875,8
619,"lo","easy","verbal",1968.575,8
620,"hi","easy","verbal",2225.6625,8
621,"lo","easy","verbal",1746.2375,7
622,"hi","easy","verbal",1480.6875,3
625,"lo","easy","verbal",2944.6625,4
626,"hi","easy","verbal",2645.65,7
627,"hi","easy","verbal",2368.275,7
628,"hi","easy","verbal",1743.6625,6
629,"hi","easy","verbal",2011.525,8
630,"hi","easy","verbal",2602.3875,8
631,"hi","easy","verbal",1875.3125,6
632,"hi","easy","verbal",3230.35,5
633,"lo","easy","verbal",2328.2125,6
634,"hi","easy","verbal",1790.15,8
635,"lo","easy","verbal",2033,8
636,"hi","easy","verbal",1775.675,8
637,"hi","easy","verbal",2483.6125,7
638,"lo","easy","verbal",1619.625,8
640,"lo","easy","verbal",1931.2,7
641,"lo","easy","verbal",1853.675,8
642,"hi","easy","verbal",2458.325,8
643,"lo","easy","verbal",2476.775,8
644,"hi","easy","verbal",2848.6875,8
645,"lo","easy","verbal",3186.425,8
646,"lo","easy","verbal",2025.4875,8
647,"hi","easy","verbal",2128.525,8
648,"hi","easy","verbal",2424.7875,8
649,"hi","easy","verbal",2332.9875,8
650,"lo","easy","verbal",2558.45,7
651,"lo","easy","verbal",2569.9,8
652,"hi","easy","verbal",2025.25,8
653,"lo","easy","verbal",2114.5625,8
654,"lo","easy","verbal",1973.3,6
655,"lo","easy","verbal",2485.4625,8
602,"hi","hard","verbal",3465.8875,5
603,"hi","hard","verbal",2898.875,7
604,"hi","hard","verbal",4710.25,3
605,"lo","hard","verbal",3837.1125,6
606,"lo","hard","verbal",3376,7
607,"hi","hard","verbal",2813.975,3
608,"hi","hard","verbal",3658.7375,4
609,"hi","hard","verbal",4803.2125,2
610,"lo","hard","verbal",3723.5125,5
611,"lo","hard","verbal",3253.6,5
612,"lo","hard","verbal",3205.825,5
613,"lo","hard","verbal",2369.7625,4
614,"lo","hard","verbal",3915.8375,6
615,"lo","hard","verbal",3673.6875,6
616,"lo","hard","verbal",3046.45,4
617,"hi","hard","verbal",3381.0125,4
618,"lo","hard","verbal",3411.8875,5
619,"lo","hard","verbal",3295.3125,5
620,"hi","hard","verbal",3406.2375,5
621,"lo","hard","verbal",3036.225,6
622,"hi","hard","verbal",1541.1,3
625,"lo","hard","verbal",3845.15,4
626,"hi","hard","verbal",2939.425,4
627,"hi","hard","verbal",3742.3125,3
628,"hi","hard","verbal",2164.7625,6
629,"hi","hard","verbal",3388.15,7
630,"hi","hard","verbal",3649.9,5
631,"hi","hard","verbal",2418.45,4
632,"hi","hard","verbal",4073.025,3
633,"lo","hard","verbal",2625.4625,3
634,"hi","hard","verbal",4560.4375,3
635,"lo","hard","verbal",4068.9125,6
636,"hi","hard","verbal",3610.6625,7
637,"hi","hard","verbal",3934.925,6
638,"lo","hard","verbal",2519.5875,5
640,"lo","hard","verbal",3587.9125,7
641,"lo","hard","verbal",3588.7375,7
642,"hi","hard","verbal",4151.7625,5
643,"lo","hard","verbal",2959.1,7
644,"hi","hard","verbal",3361.8,3
645,"lo","hard","verbal",3858.9,4
646,"lo","hard","verbal",3215.3125,6
647,"hi","hard","verbal",3606.3125,7
648,"hi","hard","verbal",3096.3375,7
649,"hi","hard","verbal",3429.2125,6
650,"lo","hard","verbal",2548.2,6
651,"lo","hard","verbal",3563.15,6
652,"hi","hard","verbal",3308.625,5
653,"lo","hard","verbal",3146.8875,5
654,"lo","hard","verbal",3669.5375,3
655,"lo","hard","verbal",3623.25,5
