"id","bis_attention","bis_coginstable","bis_motor","bis_persev","bis_selfcntrl","bis_cogcomplex","bis_ATT","bis_MTR","bis_NPL","bis"
601,1.6,2.33333333333333,1.42857142857143,1.5,2.16666666666667,1.6,1.875,1.45454545454545,1.90909090909091,1.73333333333333
602,1.4,2.33333333333333,1.71428571428571,1.25,1.66666666666667,1.4,1.75,1.54545454545455,1.54545454545455,1.6
603,2.6,3,2.71428571428571,2,2.33333333333333,2.2,2.75,2.45454545454545,2.27272727272727,2.46666666666667
604,2.2,3.33333333333333,1.57142857142857,2,2.16666666666667,2.2,2.625,1.72727272727273,2.18181818181818,2.13333333333333
605,2,1.66666666666667,1.71428571428571,1.25,2.16666666666667,2.4,1.875,1.54545454545455,2.27272727272727,1.9
606,2.4,1.66666666666667,1.85714285714286,2,2.5,2.4,2.125,1.90909090909091,2.45454545454545,2.16666666666667
607,1.8,2.33333333333333,1.42857142857143,2.25,2,2.6,2,1.72727272727273,2.27272727272727,2
608,1.8,1.66666666666667,1.57142857142857,2,2.33333333333333,2.6,1.75,1.72727272727273,2.45454545454545,2
609,2.8,2.33333333333333,2.42857142857143,2.5,2.16666666666667,2.4,2.625,2.45454545454545,2.27272727272727,2.43333333333333
610,2,2.33333333333333,1.28571428571429,1.25,2.16666666666667,2,2.125,1.27272727272727,2.09090909090909,1.8
611,1.8,1.33333333333333,1.85714285714286,1,2,2,1.625,1.54545454545455,2,1.73333333333333
612,1.8,2,2.14285714285714,1.75,1.83333333333333,2.6,1.875,2,2.18181818181818,2.03333333333333
613,2.4,2,2,2.25,2.83333333333333,2.6,2.25,2.09090909090909,2.72727272727273,2.36666666666667
614,1.6,2.33333333333333,1.85714285714286,1.75,1.5,1.8,1.875,1.81818181818182,1.63636363636364,1.76666666666667
615,3,3,2.42857142857143,1.75,1.5,1.4,3,2.18181818181818,1.45454545454545,2.13333333333333
616,2.6,1.66666666666667,2.28571428571429,1.5,2.16666666666667,2,2.25,2,2.09090909090909,2.1
617,2.4,1.66666666666667,1.85714285714286,1.5,1.33333333333333,2.6,2.125,1.72727272727273,1.90909090909091,1.9
618,1.6,1,1.71428571428571,1.5,2,2.2,1.375,1.63636363636364,2.09090909090909,1.73333333333333
619,3.4,2,2.28571428571429,1.25,2.83333333333333,2,2.875,1.90909090909091,2.45454545454545,2.36666666666667
620,2.8,1.33333333333333,1.57142857142857,1.25,2.16666666666667,2.2,2.25,1.45454545454545,2.18181818181818,1.93333333333333
621,2,1,2.57142857142857,2,2.5,3,1.625,2.36363636363636,2.72727272727273,2.3
622,2.8,2.33333333333333,2.42857142857143,2.25,2.5,2.4,2.625,2.36363636363636,2.45454545454545,2.46666666666667
625,2.2,1.33333333333333,1.71428571428571,1.25,1.66666666666667,3.2,1.875,1.54545454545455,2.36363636363636,1.93333333333333
626,2.4,2,2,2.25,2.83333333333333,2.6,2.25,2.09090909090909,2.72727272727273,2.36666666666667
627,1.4,2,1.42857142857143,1.5,2,2,1.625,1.45454545454545,2,1.7
628,1.8,1,1.85714285714286,2,1.83333333333333,2.6,1.5,1.90909090909091,2.18181818181818,1.9
629,2,2,2.28571428571429,2,2.66666666666667,3,2,2.18181818181818,2.81818181818182,2.36666666666667
630,2.8,1.66666666666667,2.28571428571429,1.5,2.5,2.4,2.375,2,2.45454545454545,2.26666666666667
631,2.2,3,2.57142857142857,2,2.66666666666667,3,2.5,2.36363636363636,2.81818181818182,2.56666666666667
632,2.2,1,1,1.75,3.5,2.8,1.75,1.27272727272727,3.18181818181818,2.1
633,2.2,1,1.71428571428571,1.25,3.16666666666667,2.8,1.75,1.54545454545455,3,2.13333333333333
634,3.2,2,2.42857142857143,2,2.83333333333333,2.6,2.75,2.27272727272727,2.72727272727273,2.56666666666667
635,2.6,3,3,2.75,2.16666666666667,2.4,2.75,2.90909090909091,2.27272727272727,2.63333333333333
636,2.8,2,2.14285714285714,2,1.83333333333333,2.2,2.5,2.09090909090909,2,2.16666666666667
637,2.4,2.33333333333333,1.57142857142857,1.5,1.5,2.4,2.375,1.54545454545455,1.90909090909091,1.9
638,2.6,2,2.42857142857143,1.75,2,2.4,2.375,2.18181818181818,2.18181818181818,2.23333333333333
640,2.4,1.66666666666667,1.57142857142857,1.75,2.33333333333333,2.4,2.125,1.63636363636364,2.36363636363636,2.03333333333333
641,2.2,2,2.14285714285714,2,2,2.2,2.125,2.09090909090909,2.09090909090909,2.1
642,2,2.33333333333333,2.28571428571429,1.5,2.33333333333333,2.8,2.125,2,2.54545454545455,2.23333333333333
643,1.4,1.66666666666667,1.85714285714286,1.5,1.66666666666667,2,1.5,1.72727272727273,1.81818181818182,1.7
644,1.2,1.33333333333333,1.57142857142857,1,1.5,1.4,1.25,1.36363636363636,1.45454545454545,1.36666666666667
645,1.8,1.66666666666667,2.14285714285714,1.5,2,3.2,1.75,1.90909090909091,2.54545454545455,2.1
646,1.8,1.66666666666667,1.42857142857143,1.75,2.16666666666667,2.2,1.75,1.54545454545455,2.18181818181818,1.83333333333333
647,1.8,3,2.28571428571429,2,1.66666666666667,1.2,2.25,2.18181818181818,1.45454545454545,1.93333333333333
648,1.6,1.33333333333333,1.28571428571429,1.5,2.83333333333333,2,1.5,1.36363636363636,2.45454545454545,1.8
649,2.2,2,2,2.25,2.83333333333333,2.6,2.125,2.09090909090909,2.72727272727273,2.33333333333333
650,1.4,1.66666666666667,1.28571428571429,1.5,2,2,1.5,1.36363636363636,2,1.63333333333333
651,1,2.33333333333333,1.85714285714286,1.75,1,1.4,1.5,1.81818181818182,1.18181818181818,1.5
652,2.2,2.33333333333333,2.14285714285714,1,2.33333333333333,2.2,2.25,1.72727272727273,2.27272727272727,2.06666666666667
653,2.8,3,2.57142857142857,1.75,2.83333333333333,2.2,2.875,2.27272727272727,2.54545454545455,2.53333333333333
654,2.4,2.33333333333333,2.28571428571429,1.75,2.66666666666667,2,2.375,2.09090909090909,2.36363636363636,2.26666666666667
655,2.4,1.33333333333333,1.57142857142857,1.5,1.33333333333333,1.8,2,1.54545454545455,1.54545454545455,1.66666666666667
656,3,3.33333333333333,2.42857142857143,2.75,3.16666666666667,2.6,3.125,2.54545454545455,2.90909090909091,2.83333333333333
657,1.8,3,1.85714285714286,2,2.33333333333333,2.6,2.25,1.90909090909091,2.45454545454545,2.2
