"id","amas_learn","amas_eval","amas","bis_attention","bis_coginstable","bis_motor","bis_persev","bis_selfcntrl","bis_cogcomplex","bis_ATT","bis_MTR","bis_NPL","bis","tuckman","easymathtime","hardmathtime","easyverbaltime","hardverbaltime","easymathcorrect","hardmathcorrect","easyverbalcorrect","hardverbalcorrect"
602,2.4,3.75,3,1.4,2.33333333333333,1.71428571428571,1.25,1.66666666666667,1.4,1.75,1.54545454545455,1.54545454545455,1.6,2.66666666666667,3498.1,4786.9,2350.8,3465.8875,8,2,8,5
603,3,3,3,2.6,3,2.71428571428571,2,2.33333333333333,2.2,2.75,2.45454545454545,2.27272727272727,2.46666666666667,2.55555555555556,2817.9625,3595.125,1771.3875,2898.875,6,4,7,7
604,2,3.5,2.66666666666667,2.2,3.33333333333333,1.57142857142857,2,2.16666666666667,2.2,2.625,1.72727272727273,2.18181818181818,2.13333333333333,2.55555555555556,3428.0875,5090.1,2820.7625,4710.25,6,0,4,3
605,1,2.5,1.66666666666667,2,1.66666666666667,1.71428571428571,1.25,2.16666666666667,2.4,1.875,1.54545454545455,2.27272727272727,1.9,3.44444444444444,3666.1125,4436.7625,2400.8,3837.1125,7,4,8,6
606,1.6,2.25,1.88888888888889,2.4,1.66666666666667,1.85714285714286,2,2.5,2.4,2.125,1.90909090909091,2.45454545454545,2.16666666666667,2.44444444444444,2180.8375,4623.45,1793.3875,3376,8,6,8,7
607,2.2,3.75,2.88888888888889,1.8,2.33333333333333,1.42857142857143,2.25,2,2.6,2,1.72727272727273,2.27272727272727,2,3,2565.7125,4251.2625,2110.7,2813.975,8,4,7,3
608,2.8,3.75,3.22222222222222,1.8,1.66666666666667,1.57142857142857,2,2.33333333333333,2.6,1.75,1.72727272727273,2.45454545454545,2,2.55555555555556,4269.8125,3632.1,2115.15,3658.7375,6,2,5,4
609,3.4,3.75,3.55555555555556,2.8,2.33333333333333,2.42857142857143,2.5,2.16666666666667,2.4,2.625,2.45454545454545,2.27272727272727,2.43333333333333,2.66666666666667,4126.3375,3087.225,2375.3875,4803.2125,6,4,5,2
610,1,2.5,1.66666666666667,2,2.33333333333333,1.28571428571429,1.25,2.16666666666667,2,2.125,1.27272727272727,2.09090909090909,1.8,3.44444444444444,2533.425,4369.35,2296.6625,3723.5125,8,6,5,5
611,1.4,2.25,1.77777777777778,1.8,1.33333333333333,1.85714285714286,1,2,2,1.625,1.54545454545455,2,1.73333333333333,3.33333333333333,3475.4375,4041.575,2867.5,3253.6,6,4,5,5
612,1,1.25,1.11111111111111,1.8,2,2.14285714285714,1.75,1.83333333333333,2.6,1.875,2,2.18181818181818,2.03333333333333,3.88888888888889,2580.85,4568.375,1898.6625,3205.825,8,5,7,5
613,1,1,1,2.4,2,2,2.25,2.83333333333333,2.6,2.25,2.09090909090909,2.72727272727273,2.36666666666667,2.33333333333333,2652.425,3955.35,2228.1875,2369.7625,8,4,7,4
614,1,1.75,1.33333333333333,1.6,2.33333333333333,1.85714285714286,1.75,1.5,1.8,1.875,1.81818181818182,1.63636363636364,1.76666666666667,3,2425.7,4622.9,1578.45,3915.8375,8,3,7,6
615,1.4,3,2.11111111111111,3,3,2.42857142857143,1.75,1.5,1.4,3,2.18181818181818,1.45454545454545,2.13333333333333,4.11111111111111,3005.225,4232.8875,2100.425,3673.6875,5,1,8,6
616,1,1.5,1.22222222222222,2.6,1.66666666666667,2.28571428571429,1.5,2.16666666666667,2,2.25,2,2.09090909090909,2.1,2.66666666666667,2030.4125,3856.325,1825.2125,3046.45,8,5,8,4
617,3,5,3.88888888888889,2.4,1.66666666666667,1.85714285714286,1.5,1.33333333333333,2.6,2.125,1.72727272727273,1.90909090909091,1.9,2.66666666666667,4876.525,3956.5,3673.375,3381.0125,4,2,5,4
618,1,2,1.44444444444444,1.6,1,1.71428571428571,1.5,2,2.2,1.375,1.63636363636364,2.09090909090909,1.73333333333333,3.55555555555556,2257.1125,4017.05,1568.2875,3411.8875,7,6,8,5
619,1.2,1,1.11111111111111,3.4,2,2.28571428571429,1.25,2.83333333333333,2,2.875,1.90909090909091,2.45454545454545,2.36666666666667,2.22222222222222,2230.8125,4080.0125,1968.575,3295.3125,8,5,8,5
620,4.8,4.75,4.77777777777778,2.8,1.33333333333333,1.57142857142857,1.25,2.16666666666667,2.2,2.25,1.45454545454545,2.18181818181818,1.93333333333333,1.77777777777778,3475.0375,3368.9125,2225.6625,3406.2375,6,4,8,5
621,1,3,1.88888888888889,2,1,2.57142857142857,2,2.5,3,1.625,2.36363636363636,2.72727272727273,2.3,2.11111111111111,2494.5375,4802.5625,1746.2375,3036.225,7,4,7,6
622,2.4,4.25,3.22222222222222,2.8,2.33333333333333,2.42857142857143,2.25,2.5,2.4,2.625,2.36363636363636,2.45454545454545,2.46666666666667,2.22222222222222,3854.2,2984.0125,1480.6875,1541.1,5,4,3,3
625,1,3.25,2,2.2,1.33333333333333,1.71428571428571,1.25,1.66666666666667,3.2,1.875,1.54545454545455,2.36363636363636,1.93333333333333,3.44444444444444,3669.8625,4608.8375,2944.6625,3845.15,5,2,4,4
626,2.8,3,2.88888888888889,2.4,2,2,2.25,2.83333333333333,2.6,2.25,2.09090909090909,2.72727272727273,2.36666666666667,2.22222222222222,4207.3375,2747.3125,2645.65,2939.425,5,4,7,4
627,2.2,4.25,3.11111111111111,1.4,2,1.42857142857143,1.5,2,2,1.625,1.45454545454545,2,1.7,4,3274.7625,4507.7375,2368.275,3742.3125,7,5,7,3
628,1.6,3.25,2.33333333333333,1.8,1,1.85714285714286,2,1.83333333333333,2.6,1.5,1.90909090909091,2.18181818181818,1.9,2.77777777777778,2242.175,3820.725,1743.6625,2164.7625,7,3,6,6
629,2.8,3,2.88888888888889,2,2,2.28571428571429,2,2.66666666666667,3,2,2.18181818181818,2.81818181818182,2.36666666666667,3.44444444444444,3629.9,4447.5,2011.525,3388.15,7,4,8,7
630,3.6,4.5,4,2.8,1.66666666666667,2.28571428571429,1.5,2.5,2.4,2.375,2,2.45454545454545,2.26666666666667,2.44444444444444,3837.825,4302.45,2602.3875,3649.9,7,2,8,5
631,3.4,4,3.66666666666667,2.2,3,2.57142857142857,2,2.66666666666667,3,2.5,2.36363636363636,2.81818181818182,2.56666666666667,2.33333333333333,3683.55,2401.125,1875.3125,2418.45,1,5,6,4
632,3,3,3,2.2,1,1,1.75,3.5,2.8,1.75,1.27272727272727,3.18181818181818,2.1,2.33333333333333,2478.4625,3371.8125,3230.35,4073.025,6,4,5,3
633,1,1.25,1.11111111111111,2.2,1,1.71428571428571,1.25,3.16666666666667,2.8,1.75,1.54545454545455,3,2.13333333333333,2.55555555555556,3790.0875,4371.8125,2328.2125,2625.4625,4,5,6,3
634,2.8,3.25,3,3.2,2,2.42857142857143,2,2.83333333333333,2.6,2.75,2.27272727272727,2.72727272727273,2.56666666666667,2,3888.6375,4764.7125,1790.15,4560.4375,7,1,8,3
635,1,1,1,2.6,3,3,2.75,2.16666666666667,2.4,2.75,2.90909090909091,2.27272727272727,2.63333333333333,2.33333333333333,4047.5,4072.1625,2033,4068.9125,7,4,8,6
636,3.2,4,3.55555555555556,2.8,2,2.14285714285714,2,1.83333333333333,2.2,2.5,2.09090909090909,2,2.16666666666667,3,3804.725,3735.975,1775.675,3610.6625,6,3,8,7
637,2.4,4.25,3.22222222222222,2.4,2.33333333333333,1.57142857142857,1.5,1.5,2.4,2.375,1.54545454545455,1.90909090909091,1.9,2.44444444444444,2841.5125,4412.0375,2483.6125,3934.925,7,5,7,6
638,1.2,2.25,1.66666666666667,2.6,2,2.42857142857143,1.75,2,2.4,2.375,2.18181818181818,2.18181818181818,2.23333333333333,2.33333333333333,2671.05,4099.0625,1619.625,2519.5875,8,4,8,5
640,1,3.5,2.11111111111111,2.4,1.66666666666667,1.57142857142857,1.75,2.33333333333333,2.4,2.125,1.63636363636364,2.36363636363636,2.03333333333333,4.22222222222222,3725.575,4205.1875,1931.2,3587.9125,6,4,7,7
641,1.6,2.25,1.88888888888889,2.2,2,2.14285714285714,2,2,2.2,2.125,2.09090909090909,2.09090909090909,2.1,2.77777777777778,2363.5625,3135.5875,1853.675,3588.7375,8,4,8,7
642,1.8,3.75,2.66666666666667,2,2.33333333333333,2.28571428571429,1.5,2.33333333333333,2.8,2.125,2,2.54545454545455,2.23333333333333,1.77777777777778,3650.55,3853.25,2458.325,4151.7625,8,5,8,5
643,1,2.5,1.66666666666667,1.4,1.66666666666667,1.85714285714286,1.5,1.66666666666667,2,1.5,1.72727272727273,1.81818181818182,1.7,3.88888888888889,3002.8125,4973.125,2476.775,2959.1,8,4,8,7
644,2.6,4.5,3.44444444444444,1.2,1.33333333333333,1.57142857142857,1,1.5,1.4,1.25,1.36363636363636,1.45454545454545,1.36666666666667,4.11111111111111,3781.55,4075.6875,2848.6875,3361.8,7,5,8,3
645,1,2,1.44444444444444,1.8,1.66666666666667,2.14285714285714,1.5,2,3.2,1.75,1.90909090909091,2.54545454545455,2.1,3.88888888888889,3042.225,4178.7875,3186.425,3858.9,6,3,8,4
646,1.4,2.5,1.88888888888889,1.8,1.66666666666667,1.42857142857143,1.75,2.16666666666667,2.2,1.75,1.54545454545455,2.18181818181818,1.83333333333333,2.66666666666667,2382.7875,4237.775,2025.4875,3215.3125,8,0,8,6
647,1.8,5,3.22222222222222,1.8,3,2.28571428571429,2,1.66666666666667,1.2,2.25,2.18181818181818,1.45454545454545,1.93333333333333,2.33333333333333,2869.0125,4206.2875,2128.525,3606.3125,8,3,8,7
648,2.8,3.25,3,1.6,1.33333333333333,1.28571428571429,1.5,2.83333333333333,2,1.5,1.36363636363636,2.45454545454545,1.8,2.11111111111111,2314.9375,4795.4625,2424.7875,3096.3375,7,5,8,7
649,1.4,4.5,2.77777777777778,2.2,2,2,2.25,2.83333333333333,2.6,2.125,2.09090909090909,2.72727272727273,2.33333333333333,5.33333333333333,4271.9375,4021.4625,2332.9875,3429.2125,4,4,8,6
650,1,2.5,1.66666666666667,1.4,1.66666666666667,1.28571428571429,1.5,2,2,1.5,1.36363636363636,2,1.63333333333333,3.11111111111111,2634.5125,4289.825,2558.45,2548.2,6,4,7,6
651,1,1.5,1.22222222222222,1,2.33333333333333,1.85714285714286,1.75,1,1.4,1.5,1.81818181818182,1.18181818181818,1.5,5.44444444444444,2226.8625,3393.05,2569.9,3563.15,8,3,8,6
652,1.6,3.5,2.44444444444444,2.2,2.33333333333333,2.14285714285714,1,2.33333333333333,2.2,2.25,1.72727272727273,2.27272727272727,2.06666666666667,3.88888888888889,2815.15,3828.65,2025.25,3308.625,7,5,8,5
653,1,1.25,1.11111111111111,2.8,3,2.57142857142857,1.75,2.83333333333333,2.2,2.875,2.27272727272727,2.54545454545455,2.53333333333333,2.11111111111111,2098.6125,3968.6125,2114.5625,3146.8875,7,6,8,5
654,1,2.75,1.77777777777778,2.4,2.33333333333333,2.28571428571429,1.75,2.66666666666667,2,2.375,2.09090909090909,2.36363636363636,2.26666666666667,2.77777777777778,3475.85,4975.0125,1973.3,3669.5375,6,1,6,3
655,1,2.5,1.66666666666667,2.4,1.33333333333333,1.57142857142857,1.5,1.33333333333333,1.8,2,1.54545454545455,1.54545454545455,1.66666666666667,3,3472.9125,4033.8125,2485.4625,3623.25,8,5,8,5
