"","amas_learn","amas_eval","amas","bis_attention","bis_coginstable","bis_motor","bis_persev","bis_selfcntrl","bis_cogcomplex","bis_ATT","bis_MTR","bis_NPL","bis","tuckman","easymathtime","hardmathtime","easyverbaltime","hardverbaltime","easymathcorrect","hardmathcorrect","easyverbalcorrect","hardverbalcorrect","mathcorrectdif","verbalcorrectdif","mathtimedif"
"amas_learn","","","","","","","","","","","","","","","","","","","","","","","","",""
"amas_eval"," 0.68***","","","","","","","","","","","","","","","","","","","","","","","",""
"amas"," 0.92***"," 0.91***","","","","","","","","","","","","","","","","","","","","","","",""
"bis_attention"," 0.24 ","-0.01 "," 0.13 ","","","","","","","","","","","","","","","","","","","","","",""
"bis_coginstable"," 0.05 "," 0.05 "," 0.05 "," 0.23 ","","","","","","","","","","","","","","","","","","","","",""
"bis_motor","-0.02 ","-0.16 ","-0.10 "," 0.51***"," 0.48***","","","","","","","","","","","","","","","","","","","",""
"bis_persev"," 0.12 "," 0.00 "," 0.07 "," 0.26 "," 0.39** "," 0.43** ","","","","","","","","","","","","","","","","","","",""
"bis_selfcntrl"," 0.16 ","-0.14 "," 0.02 "," 0.38** ","-0.09 "," 0.11 "," 0.22 ","","","","","","","","","","","","","","","","","",""
"bis_cogcomplex"," 0.10 ","-0.02 "," 0.05 "," 0.22 ","-0.26 "," 0.13 "," 0.25 "," 0.48***","","","","","","","","","","","","","","","","",""
"bis_ATT"," 0.20 "," 0.02 "," 0.12 "," 0.87***"," 0.69***"," 0.63***"," 0.39** "," 0.24 "," 0.03 ","","","","","","","","","","","","","","","",""
"bis_MTR"," 0.03 ","-0.12 ","-0.05 "," 0.49***"," 0.52***"," 0.93***"," 0.72***"," 0.17 "," 0.20 "," 0.64***","","","","","","","","","","","","","","",""
"bis_NPL"," 0.16 ","-0.10 "," 0.04 "," 0.36** ","-0.19 "," 0.14 "," 0.27 "," 0.90***"," 0.81***"," 0.17 "," 0.21 ","","","","","","","","","","","","","",""
"bis"," 0.17 ","-0.10 "," 0.05 "," 0.74***"," 0.40** "," 0.73***"," 0.61***"," 0.64***"," 0.52***"," 0.76***"," 0.80***"," 0.68***","","","","","","","","","","","","",""
"tuckman","-0.37** ","-0.04 ","-0.23 ","-0.46***","-0.05 ","-0.21 ","-0.19 ","-0.41** ","-0.22 ","-0.37** ","-0.24 ","-0.38** ","-0.44** ","","","","","","","","","","","",""
"easymathtime"," 0.42** "," 0.52***"," 0.51***"," 0.20 "," 0.05 "," 0.12 "," 0.13 "," 0.03 "," 0.24 "," 0.17 "," 0.15 "," 0.14 "," 0.20 "," 0.01 ","","","","","","","","","","",""
"hardmathtime","-0.40** ","-0.13 ","-0.30* ","-0.22 ","-0.10 ","-0.21 ","-0.28* ","-0.13 ","-0.14 ","-0.21 ","-0.27 ","-0.15 ","-0.28* "," 0.12 ","-0.16 ","","","","","","","","","",""
"easyverbaltime"," 0.14 "," 0.22 "," 0.20 ","-0.23 ","-0.19 ","-0.42** ","-0.35* ","-0.14 "," 0.08 ","-0.27 ","-0.46***","-0.05 ","-0.33* "," 0.16 "," 0.35* "," 0.05 ","","","","","","","","",""
"hardverbaltime"," 0.10 "," 0.12 "," 0.12 "," 0.08 "," 0.18 ","-0.07 ","-0.03 ","-0.13 ","-0.08 "," 0.16 ","-0.07 ","-0.13 ","-0.04 "," 0.09 "," 0.23 "," 0.27 "," 0.32* ","","","","","","","",""
"easymathcorrect","-0.34* ","-0.35* ","-0.38** ","-0.21 ","-0.05 ","-0.11 ","-0.11 ","-0.26 ","-0.39** ","-0.18 ","-0.13 ","-0.36** ","-0.32* ","-0.03 ","-0.57***"," 0.40** ","-0.23 "," 0.15 ","","","","","","",""
"hardmathcorrect","-0.13 ","-0.24 ","-0.20 ","-0.07 ","-0.17 ","-0.02 ","-0.17 "," 0.18 "," 0.06 ","-0.14 ","-0.08 "," 0.15 ","-0.01 "," 0.01 ","-0.30* ","-0.23 ","-0.17 ","-0.28* "," 0.13 ","","","","","",""
"easyverbalcorrect","-0.12 ","-0.19 ","-0.17 ","-0.04 "," 0.00 "," 0.18 ","-0.10 ","-0.10 ","-0.30* ","-0.03 "," 0.10 ","-0.21 ","-0.08 "," 0.14 ","-0.29* "," 0.15 ","-0.24 "," 0.06 "," 0.46***"," 0.19 ","","","","",""
"hardverbalcorrect","-0.19 ","-0.11 ","-0.17 ","-0.13 "," 0.03 "," 0.09 "," 0.02 ","-0.22 ","-0.22 ","-0.08 "," 0.07 ","-0.26 ","-0.13 "," 0.16 ","-0.32* "," 0.16 ","-0.29* ","-0.10 "," 0.29* "," 0.11 "," 0.52***","","","",""
"mathcorrectdif","-0.15 ","-0.08 ","-0.13 ","-0.10 "," 0.09 ","-0.07 "," 0.05 ","-0.33* ","-0.33* ","-0.03 ","-0.03 ","-0.38** ","-0.22 ","-0.03 ","-0.20 "," 0.47***","-0.04 "," 0.33* "," 0.64***","-0.68***"," 0.19 "," 0.13 ","","",""
"verbalcorrectdif"," 0.08 ","-0.08 "," 0.01 "," 0.09 ","-0.03 "," 0.09 ","-0.12 "," 0.13 ","-0.06 "," 0.05 "," 0.02 "," 0.06 "," 0.06 ","-0.03 "," 0.05 ","-0.01 "," 0.07 "," 0.16 "," 0.15 "," 0.07 "," 0.44** ","-0.53***"," 0.05 ","",""
"mathtimedif"," 0.54***"," 0.45***"," 0.54***"," 0.27 "," 0.09 "," 0.21 "," 0.26 "," 0.10 "," 0.26 "," 0.25 "," 0.27 "," 0.19 "," 0.31* ","-0.06 "," 0.82***","-0.70***"," 0.22 "," 0.01 ","-0.65***","-0.08 ","-0.30* ","-0.32* ","-0.42** "," 0.04 ",""
"verbaltimedif"," 0.01 "," 0.05 "," 0.03 ","-0.25 ","-0.31* ","-0.23 ","-0.23 "," 0.03 "," 0.13 ","-0.34* ","-0.27 "," 0.09 ","-0.21 "," 0.03 "," 0.03 ","-0.22 "," 0.41** ","-0.73***","-0.31* "," 0.15 ","-0.23 ","-0.11 ","-0.35* ","-0.11 "," 0.15 "
